,clusters
10,"frozenset({('mail_mail_id', '4442.0'), ('date_order', '2022-08-03 10:15:48'), ('res_name', 'PO00987'), ('parent_id', '20891'), ('date_planned', '2022-08-03 10:15:48'), ('attachment_id', '6242'), ('mail_followers_id', '6161'), ('purchase_order_id', 987.0), ('mail_mail_id', '4442'), ('ir_attachment_id', 6242.0)})"
11,"frozenset({('mail_mail_id', '4440.0'), ('parent_id', '20879'), ('date_order', '2022-08-03 10:15:41'), ('mail_mail_id', '4440'), ('ir_attachment_id', 6240.0), ('attachment_id', '6240'), ('date_planned', '2022-08-03 10:15:41'), ('purchase_order_id', 986.0), ('res_name', 'PO00986'), ('mail_followers_id', '6158')})"
12,"frozenset({('res_name', 'PO00992'), ('mail_mail_id', '4449'), ('mail_followers_id', '6176'), ('parent_id', '20963'), ('purchase_order_id', 992.0), ('date_order', '2022-08-03 10:16:10'), ('attachment_id', '6249'), ('ir_attachment_id', 6249.0), ('mail_mail_id', '4449.0'), ('date_planned', '2022-08-03 10:16:10')})"
13,"frozenset({('mail_mail_id', '4453.0'), ('date_order', '2022-08-03 10:16:19'), ('res_name', 'PO00996'), ('mail_mail_id', '4453'), ('parent_id', '20995'), ('date_planned', '2022-08-03 10:16:19'), ('ir_attachment_id', 6253.0), ('purchase_order_id', 996.0), ('mail_followers_id', '6186'), ('attachment_id', '6253')})"
14,"frozenset({('mail_followers_id', '6205'), ('date_order', '2022-08-03 10:16:45'), ('res_name', 'PO01003'), ('purchase_order_id', 1003.0), ('date_planned', '2022-08-03 10:16:45'), ('ir_attachment_id', 6262.0), ('mail_mail_id', '4462.0'), ('attachment_id', '6262'), ('mail_mail_id', '4462'), ('parent_id', '21073')})"
15,"frozenset({('attachment_id', '6232'), ('purchase_order_id', 978.0), ('mail_mail_id', '4432'), ('date_order', '2022-08-03 10:15:18'), ('mail_mail_id', '4432.0'), ('mail_followers_id', '6146'), ('date_planned', '2022-08-03 10:15:18'), ('parent_id', '20835'), ('res_name', 'PO00978'), ('ir_attachment_id', 6232.0)})"
16,"frozenset({('ir_attachment_id', 6251.0), ('purchase_order_id', 994.0), ('mail_mail_id', '4451.0'), ('parent_id', '20982'), ('mail_mail_id', '4451'), ('date_order', '2022-08-03 10:16:15'), ('attachment_id', '6251'), ('res_name', 'PO00994'), ('date_planned', '2022-08-03 10:16:15'), ('mail_followers_id', '6182')})"
17,"frozenset({('date_order', '2022-08-03 10:15:15'), ('purchase_order_line_id', 995.0), ('mail_followers_id', '6147'), ('sale_order_line_id', 400.0), ('purchase_order_line_id', 991.0), ('mail_followers_id', '6145'), ('date_planned', '2022-08-03 05:36:40.490444'), ('sale_order_id', 376.0), ('purchase_requisition_line_id', 339.0), ('purchase_requisition_id', 339.0)})"
18,"frozenset({('date_order', '2022-08-03 10:16:13'), ('date_planned', '2022-08-03 10:16:13'), ('mail_mail_id', '4450.0'), ('attachment_id', '6250'), ('res_name', 'PO00993'), ('parent_id', '20976'), ('ir_attachment_id', 6250.0), ('mail_mail_id', '4450'), ('purchase_order_id', 993.0), ('mail_followers_id', '6178')})"
19,"frozenset({('mail_followers_id', '6149'), ('parent_id', '20845'), ('mail_mail_id', '4434.0'), ('ir_attachment_id', 6234.0), ('purchase_order_id', 980.0), ('mail_mail_id', '4434'), ('res_name', 'PO00980'), ('date_order', '2022-08-03 10:15:25'), ('attachment_id', '6234'), ('date_planned', '2022-08-03 10:15:25')})"
